site,level_m,discharge_cms
NHC,1.3,4.04424
NHC,1.03,0.84445
NHC,0.95,0.23225
NHC,1.2,1.2177
NHC,0.97,0.2829
NHC,1.06,0.77557
NHC,1.08,0.55243476
NHC,1.37,6.30415
NHC,1.23,2.42207
NHC,1.33,3.3578
NHC,1.01,0.71
NHC,1.19,1.980408
NHC,1.28,2.51085
Mud,0.0037398,0.0000001
Mud,0.09600594,0.0060698847
Mud,0.2056688,0.0712217067
Mud,0.2041366,0.0698635093
Mud,0.2000454,0.0642
Mud,0.1879018,0.0535715084
Mud,0.1785192,0.0495847751
Mud,0.1546148,0.0310
Mud,0.1158974,0.0144504508
Mud,0.10136818,0.0079083472
Mud,0.18,0.01546
Mud,0.28,0.19178
Stony,0.169,0.0073260798
Stony,0.191,0.0329027067
Stony,0.502,0.2255015997
Stony,0.336,0.050413627
Stony,0.262,0.049536409
Stony,0.27,0.057105789
Stony,0.276,0.067475438
Stony,0.283,0.068231802
Stony,0.224,0.028873006
Stony,0.213,0.03461449
Stony,0.221,0.030807969
Stony,0.244,0.048362755
Stony,0.223,0.037646394
Stony,0.233,0.0146
Stony,0.697,2.121137896
Stony,0.397,0.042958754
Stony,0.392,0.120016667
Stony,0.253,0.00357
Stony,0.416,0.12889992
Stony,0.339,0.0286360293
Stony,0.355,0.0587333333
Stony,0.334,0.0268871699
Stony,0.5,0.19562
Stony,0.753,0.525209497
UNHC,0.4,0.42115
UNHC,0.45,0.2193
UNHC,0.69,2.5495
UNHC,0.575,0.2219
UNHC,0.57,0.27085
UNHC,0.56,0.99772
UNHC,0.55,0.44095
UNHC,0.6,1.6655
UNHC,0.735,2.57577
UNHC,0.7,1.68239
UEno,0.38,0.11974
UEno,0.45,0.2193
UEno,0.5,0.288
UEno,0.48,0.20395
UEno,0.39,0.21374
UEno,0.66,0.9302
UEno,0.5,0.29646372
UEno,1,2.6861
UEno,0.67,1.70547
UEno,0.91,0.9677
